Version,Instructions,Average Time Per Option (ms),Option Per Second,Dividends,Smoothing,Acceleration,Threads
Release,,2.48840,401.86465,0,False,False,MultiThreaded
Release GCC-7.1,,1.35430,738.38884,0,False,False,MultiThreaded
Optimized GCC-7.1,,1.90570,524.74156,0,False,False,MultiThreaded
Graphite GCC-7.1,,2.20300,453.92646,0,False,False,MultiThreaded
Release Clang-4.0,,2.24500,445.43430,0,False,False,MultiThreaded
Optimized Clang-4.0,,1.70540,586.37270,0,False,False,MultiThreaded
Polly Clang-4.0,,2.21800,450.85663,0,False,False,MultiThreaded
Release Intel,,2.65930,376.03881,0,False,False,MultiThreaded
Optimized Intel,,3.46380,288.70027,0,False,False,MultiThreaded
Release,,2.59010,386.08548,1,False,False,MultiThreaded
Release GCC-7.1,,2.58630,386.65275,1,False,False,MultiThreaded
Optimized GCC-7.1,,2.77460,360.41231,1,False,False,MultiThreaded
Graphite GCC-7.1,,2.83790,352.37323,1,False,False,MultiThreaded
Release Clang-4.0,,2.29280,436.14794,1,False,False,MultiThreaded
Optimized Clang-4.0,,3.02330,330.76440,1,False,False,MultiThreaded
Polly Clang-4.0,,1.86770,535.41789,1,False,False,MultiThreaded
Release Intel,,3.34790,298.69470,1,False,False,MultiThreaded
Optimized Intel,,2.42730,411.98039,1,False,False,MultiThreaded
Release,,3.02680,330.38192,2,False,False,MultiThreaded
Release GCC-7.1,,3.54960,281.72188,2,False,False,MultiThreaded
Optimized GCC-7.1,,2.87740,347.53597,2,False,False,MultiThreaded
Graphite GCC-7.1,,2.84750,351.18525,2,False,False,MultiThreaded
Release Clang-4.0,,2.43960,409.90326,2,False,False,MultiThreaded
Optimized Clang-4.0,,2.23120,448.18932,2,False,False,MultiThreaded
Polly Clang-4.0,,3.27040,305.77299,2,False,False,MultiThreaded
Release Intel,,2.94670,339.36268,2,False,False,MultiThreaded
Optimized Intel,,3.00420,332.86732,2,False,False,MultiThreaded
Release,,2.27880,438.82745,3,False,False,MultiThreaded
Release GCC-7.1,,2.94040,340.08978,3,False,False,MultiThreaded
Optimized GCC-7.1,,3.24670,308.00505,3,False,False,MultiThreaded
Graphite GCC-7.1,,2.28510,437.61761,3,False,False,MultiThreaded
Release Clang-4.0,,3.45370,289.54455,3,False,False,MultiThreaded
Optimized Clang-4.0,,2.79890,357.28322,3,False,False,MultiThreaded
Polly Clang-4.0,,2.80940,355.94789,3,False,False,MultiThreaded
Release Intel,,4.25180,235.19451,3,False,False,MultiThreaded
Optimized Intel,,3.33000,300.30030,3,False,False,MultiThreaded
Release,,3.20340,312.16832,4,False,False,MultiThreaded
Release GCC-7.1,,3.20690,311.82762,4,False,False,MultiThreaded
Optimized GCC-7.1,,3.76490,265.61130,4,False,False,MultiThreaded
Graphite GCC-7.1,,4.05510,246.60304,4,False,False,MultiThreaded
Release Clang-4.0,,3.75820,266.08483,4,False,False,MultiThreaded
Optimized Clang-4.0,,2.89350,345.60221,4,False,False,MultiThreaded
Polly Clang-4.0,,3.39860,294.23880,4,False,False,MultiThreaded
Release Intel,,2.87550,347.76561,4,False,False,MultiThreaded
Optimized Intel,,3.14190,318.27875,4,False,False,MultiThreaded
Release,,3.36990,296.74471,5,False,False,MultiThreaded
Release GCC-7.1,,3.33630,299.73324,5,False,False,MultiThreaded
Optimized GCC-7.1,,3.50170,285.57558,5,False,False,MultiThreaded
Graphite GCC-7.1,,4.10580,243.55789,5,False,False,MultiThreaded
Release Clang-4.0,,3.46040,288.98393,5,False,False,MultiThreaded
Optimized Clang-4.0,,3.42660,291.83447,5,False,False,MultiThreaded
Polly Clang-4.0,,3.78600,264.13101,5,False,False,MultiThreaded
Release Intel,,4.35780,229.47359,5,False,False,MultiThreaded
Optimized Intel,,2.86230,349.36939,5,False,False,MultiThreaded
Release,,3.53150,283.16579,6,False,False,MultiThreaded
Release GCC-7.1,,3.34210,299.21307,6,False,False,MultiThreaded
Optimized GCC-7.1,,3.30910,302.19697,6,False,False,MultiThreaded
Graphite GCC-7.1,,3.12310,320.19468,6,False,False,MultiThreaded
Release Clang-4.0,,1.94090,515.22490,6,False,False,MultiThreaded
Optimized Clang-4.0,,3.11430,321.09944,6,False,False,MultiThreaded
Polly Clang-4.0,,2.59360,385.56447,6,False,False,MultiThreaded
Release Intel,,2.52290,396.36926,6,False,False,MultiThreaded
Optimized Intel,,3.52330,283.82482,6,False,False,MultiThreaded
Release,,3.46510,288.59196,7,False,False,MultiThreaded
Release GCC-7.1,,2.56120,390.44198,7,False,False,MultiThreaded
Optimized GCC-7.1,,4.17590,239.46934,7,False,False,MultiThreaded
Graphite GCC-7.1,,3.52660,283.55924,7,False,False,MultiThreaded
Release Clang-4.0,,3.04880,327.99790,7,False,False,MultiThreaded
Optimized Clang-4.0,,3.14100,318.36995,7,False,False,MultiThreaded
Polly Clang-4.0,,2.26360,441.77417,7,False,False,MultiThreaded
Release Intel,,3.46070,288.95888,7,False,False,MultiThreaded
Optimized Intel,,3.44190,290.53720,7,False,False,MultiThreaded
Release,,3.51310,284.64889,8,False,False,MultiThreaded
Release GCC-7.1,,2.29350,436.01482,8,False,False,MultiThreaded
Optimized GCC-7.1,,3.72010,268.80998,8,False,False,MultiThreaded
Graphite GCC-7.1,,2.63360,379.70838,8,False,False,MultiThreaded
Release Clang-4.0,,3.04990,327.87960,8,False,False,MultiThreaded
Optimized Clang-4.0,,3.09600,322.99742,8,False,False,MultiThreaded
Polly Clang-4.0,,3.18400,314.07035,8,False,False,MultiThreaded
Release Intel,,3.66410,272.91832,8,False,False,MultiThreaded
Optimized Intel,,2.38980,418.44506,8,False,False,MultiThreaded
Release,,3.80280,262.96413,0,True,False,MultiThreaded
Release GCC-7.1,,3.28480,304.43254,0,True,False,MultiThreaded
Optimized GCC-7.1,,3.88970,257.08924,0,True,False,MultiThreaded
Graphite GCC-7.1,,2.93010,341.28528,0,True,False,MultiThreaded
Release Clang-4.0,,2.95620,338.27211,0,True,False,MultiThreaded
