Version,Instructions,Average Time Per Option (ms),Option Per Second,Dividends,Smoothing,Acceleration,Threads
Release,620241718,2.15780,463.43498,0,False,False,SingleThreaded
Release GCC-7.1,602862717,2.14140,466.98422,0,False,False,SingleThreaded
Optimized GCC-7.1,602913617,3.01550,331.61996,0,False,False,SingleThreaded
Graphite GCC-7.1,603290003,2.23390,447.64761,0,False,False,SingleThreaded
Release Clang-4.0,519622891,2.27070,440.39283,0,False,False,SingleThreaded
Optimized Clang-4.0,519395638,2.26970,440.58686,0,False,False,SingleThreaded
Polly Clang-4.0,519843638,2.70380,369.84984,0,False,False,SingleThreaded
Release Intel,550482332,2.83070,353.26951,0,False,False,SingleThreaded
Optimized Intel,526117790,2.69060,371.66431,0,False,False,SingleThreaded
Release,634838616,3.95620,252.76781,1,False,False,SingleThreaded
Release GCC-7.1,616393219,2.52550,395.96120,1,False,False,SingleThreaded
Optimized GCC-7.1,616444119,3.03460,329.53272,1,False,False,SingleThreaded
Graphite GCC-7.1,616766805,2.84340,351.69164,1,False,False,SingleThreaded
Release Clang-4.0,531668593,2.56120,390.44198,1,False,False,SingleThreaded
Optimized Clang-4.0,531428840,2.90700,343.99725,1,False,False,SingleThreaded
Polly Clang-4.0,531805940,3.25970,306.77670,1,False,False,SingleThreaded
Release Intel,563770034,3.30890,302.21524,1,False,False,SingleThreaded
Optimized Intel,539109092,3.55050,281.65047,1,False,False,SingleThreaded
Release,649239150,2.75090,363.51739,2,False,False,SingleThreaded
Release GCC-7.1,629735763,3.10230,322.34149,2,False,False,SingleThreaded
Optimized GCC-7.1,629786663,3.11290,321.24386,2,False,False,SingleThreaded
Graphite GCC-7.1,630111305,3.48110,287.26552,2,False,False,SingleThreaded
Release Clang-4.0,543573437,2.46140,406.27285,2,False,False,SingleThreaded
Optimized Clang-4.0,543329184,3.04130,328.80676,2,False,False,SingleThreaded
Polly Clang-4.0,543635384,2.42470,412.42216,2,False,False,SingleThreaded
Release Intel,576924978,3.12000,320.51282,2,False,False,SingleThreaded
Optimized Intel,551967792,3.15590,316.86682,2,False,False,SingleThreaded
Release,663627950,3.51870,284.19587,3,False,False,SingleThreaded
Release GCC-7.1,643073563,3.38300,295.59563,3,False,False,SingleThreaded
Optimized GCC-7.1,643124463,3.03990,328.95819,3,False,False,SingleThreaded
Graphite GCC-7.1,643450749,3.00510,332.76763,3,False,False,SingleThreaded
Release Clang-4.0,555474237,3.05430,327.40726,3,False,False,SingleThreaded
Optimized Clang-4.0,555225484,2.74080,364.85698,3,False,False,SingleThreaded
Polly Clang-4.0,555460784,3.22850,309.74137,3,False,False,SingleThreaded
Release Intel,590075178,3.46200,288.85038,3,False,False,SingleThreaded
Optimized Intel,564821436,3.42880,291.64722,3,False,False,SingleThreaded
Release,678016713,2.94000,340.13605,4,False,False,SingleThreaded
Release GCC-7.1,656411363,3.18550,313.92246,4,False,False,SingleThreaded
Optimized GCC-7.1,656462263,3.12900,319.59092,4,False,False,SingleThreaded
Graphite GCC-7.1,656790349,3.46870,288.29244,4,False,False,SingleThreaded
Release Clang-4.0,567375037,3.53040,283.25402,4,False,False,SingleThreaded
Optimized Clang-4.0,567121784,2.47320,404.33447,4,False,False,SingleThreaded
Polly Clang-4.0,567286184,2.73980,364.99015,4,False,False,SingleThreaded
Release Intel,603225378,3.13750,318.72510,4,False,False,SingleThreaded
Optimized Intel,577675236,3.17090,315.36788,4,False,False,SingleThreaded
Release,692406913,3.24920,307.76807,5,False,False,SingleThreaded
Release GCC-7.1,669750563,3.12650,319.84647,5,False,False,SingleThreaded
Optimized GCC-7.1,669801463,3.26820,305.97883,5,False,False,SingleThreaded
Graphite GCC-7.1,670131349,3.46950,288.22597,5,False,False,SingleThreaded
Release Clang-4.0,579275137,3.19270,313.21452,5,False,False,SingleThreaded
Optimized Clang-4.0,579017384,3.22730,309.85654,5,False,False,SingleThreaded
Polly Clang-4.0,579110884,2.59200,385.80247,5,False,False,SingleThreaded
Release Intel,616376978,4.10520,243.59349,5,False,False,SingleThreaded
Optimized Intel,590530436,3.07270,325.44668,5,False,False,SingleThreaded
Release,706788760,3.33270,300.05701,6,False,False,SingleThreaded
Release GCC-7.1,683088363,3.39460,294.58552,6,False,False,SingleThreaded
Optimized GCC-7.1,683139263,4.03680,247.72097,6,False,False,SingleThreaded
Graphite GCC-7.1,683470949,2.96520,337.24538,6,False,False,SingleThreaded
Release Clang-4.0,591175237,2.76900,361.14121,6,False,False,SingleThreaded
Optimized Clang-4.0,590912984,2.86400,349.16201,6,False,False,SingleThreaded
Polly Clang-4.0,590935584,3.04760,328.12705,6,False,False,SingleThreaded
Release Intel,629527178,3.35110,298.40948,6,False,False,SingleThreaded
Optimized Intel,603384236,3.75410,266.37543,6,False,False,SingleThreaded
Release,721181760,3.66550,272.81408,7,False,False,SingleThreaded
Release GCC-7.1,696430363,3.67690,271.96823,7,False,False,SingleThreaded
Optimized GCC-7.1,696481263,4.09980,243.91434,7,False,False,SingleThreaded
Graphite GCC-7.1,696814749,2.92220,342.20793,7,False,False,SingleThreaded
Release Clang-4.0,603080937,3.55810,281.04887,7,False,False,SingleThreaded
Optimized Clang-4.0,602814184,2.46040,406.43798,7,False,False,SingleThreaded
Polly Clang-4.0,602765884,3.13270,319.21346,7,False,False,SingleThreaded
Release Intel,642681578,3.36270,297.38008,7,False,False,SingleThreaded
Optimized Intel,616242236,3.47600,287.68700,7,False,False,SingleThreaded
Release,735577560,3.39750,294.33407,8,False,False,SingleThreaded
Release GCC-7.1,709775163,3.51580,284.43029,8,False,False,SingleThreaded
Optimized GCC-7.1,709826063,3.50280,285.48590,8,False,False,SingleThreaded
Graphite GCC-7.1,710161349,3.36110,297.52164,8,False,False,SingleThreaded
Release Clang-4.0,614987337,2.90990,343.65442,8,False,False,SingleThreaded
Optimized Clang-4.0,614716084,3.46650,288.47541,8,False,False,SingleThreaded
Polly Clang-4.0,614596884,3.15720,316.73635,8,False,False,SingleThreaded
Release Intel,655838778,3.76340,265.71717,8,False,False,SingleThreaded
Optimized Intel,629103036,3.41660,292.68864,8,False,False,SingleThreaded
Release,621534593,2.88050,347.16195,0,True,False,SingleThreaded
Release GCC-7.1,604382987,3.71720,269.01969,0,True,False,SingleThreaded
Optimized GCC-7.1,604407087,3.19900,312.59769,0,True,False,SingleThreaded
Graphite GCC-7.1,604338311,3.11450,321.07882,0,True,False,SingleThreaded
Release Clang-4.0,521992508,2.78110,359.56995,0,True,False,SingleThreaded
Optimized Clang-4.0,520999334,2.27920,438.75044,0,True,False,SingleThreaded
Polly Clang-4.0,521441734,3.29620,303.37965,0,True,False,SingleThreaded
Release Intel,549723037,3.22490,310.08713,0,True,False,SingleThreaded
Optimized Intel,525215032,2.68440,372.52272,0,True,False,SingleThreaded
Release,636129391,3.06260,326.51995,1,True,False,SingleThreaded
Release GCC-7.1,617911589,2.98910,334.54886,1,True,False,SingleThreaded
Optimized GCC-7.1,617935689,3.19770,312.72477,1,True,False,SingleThreaded
Graphite GCC-7.1,617813913,3.26620,306.16619,1,True,False,SingleThreaded
Release Clang-4.0,534037010,2.44720,408.63027,1,True,False,SingleThreaded
Optimized Clang-4.0,533031436,2.67250,374.18148,1,True,False,SingleThreaded
Polly Clang-4.0,533402936,2.45080,408.03003,1,True,False,SingleThreaded
Release Intel,563009839,3.20550,311.96381,1,True,False,SingleThreaded
Optimized Intel,538205434,3.72150,268.70885,1,True,False,SingleThreaded
Release,650529925,2.85810,349.88279,2,True,False,SingleThreaded
Release GCC-7.1,631254133,3.23140,309.46339,2,True,False,SingleThreaded
Optimized GCC-7.1,631278233,3.42850,291.67274,2,True,False,SingleThreaded
Graphite GCC-7.1,631158413,3.53420,282.94947,2,True,False,SingleThreaded
Release Clang-4.0,545941854,2.23650,447.12721,2,True,False,SingleThreaded
Optimized Clang-4.0,544931780,2.67650,373.62227,2,True,False,SingleThreaded
Polly Clang-4.0,545232380,2.72290,367.25550,2,True,False,SingleThreaded
Release Intel,576164783,3.47520,287.75322,2,True,False,SingleThreaded
Optimized Intel,551064134,3.19380,313.10664,2,True,False,SingleThreaded
Release,664918725,3.07940,324.73859,3,True,False,SingleThreaded
Release GCC-7.1,644591933,3.04610,328.28863,3,True,False,SingleThreaded
Optimized GCC-7.1,644616033,3.10890,321.65718,3,True,False,SingleThreaded
Graphite GCC-7.1,644497857,3.08890,323.73984,3,True,False,SingleThreaded
Release Clang-4.0,557842654,3.48230,287.16653,3,True,False,SingleThreaded
Optimized Clang-4.0,556828080,3.32660,300.60723,3,True,False,SingleThreaded
Polly Clang-4.0,557057780,2.40110,416.47578,3,True,False,SingleThreaded
Release Intel,589314983,3.95560,252.80615,3,True,False,SingleThreaded
Optimized Intel,563917778,3.44240,290.49500,3,True,False,SingleThreaded
Release,679307488,3.85490,259.41010,4,True,False,SingleThreaded
Release GCC-7.1,657929733,2.72840,366.51517,4,True,False,SingleThreaded
Optimized GCC-7.1,657953833,3.51820,284.23626,4,True,False,SingleThreaded
Graphite GCC-7.1,657837457,2.81960,354.66024,4,True,False,SingleThreaded
Release Clang-4.0,569743454,2.86820,348.65072,4,True,False,SingleThreaded
Optimized Clang-4.0,568724380,3.22150,310.41440,4,True,False,SingleThreaded
Polly Clang-4.0,568883180,3.04480,328.42880,4,True,False,SingleThreaded
Release Intel,602465183,3.14190,318.27875,4,True,False,SingleThreaded
Optimized Intel,576771578,3.12760,319.73398,4,True,False,SingleThreaded
Release,693696988,3.35470,298.08925,5,True,False,SingleThreaded
Release GCC-7.1,671268233,3.41540,292.79147,5,True,False,SingleThreaded
Optimized GCC-7.1,671292333,3.30800,302.29746,5,True,False,SingleThreaded
Graphite GCC-7.1,671177757,3.97010,251.88282,5,True,False,SingleThreaded
Release Clang-4.0,581642854,2.99240,334.17992,5,True,False,SingleThreaded
Optimized Clang-4.0,580619280,3.38960,295.02006,5,True,False,SingleThreaded
Polly Clang-4.0,580707180,2.43000,411.52263,5,True,False,SingleThreaded
Release Intel,615616083,3.75110,266.58847,5,True,False,SingleThreaded
Optimized Intel,589626078,3.09630,322.96612,5,True,False,SingleThreaded
Release,708079535,3.86290,258.87287,6,True,False,SingleThreaded
Release GCC-7.1,684606733,3.58470,278.96337,6,True,False,SingleThreaded
Optimized GCC-7.1,684630833,3.94320,253.60114,6,True,False,SingleThreaded
Graphite GCC-7.1,684518057,3.04750,328.13782,6,True,False,SingleThreaded
Release Clang-4.0,593543654,2.57380,388.53058,6,True,False,SingleThreaded
Optimized Clang-4.0,592515580,2.83910,352.22430,6,True,False,SingleThreaded
Polly Clang-4.0,592532580,2.97730,335.87479,6,True,False,SingleThreaded
Release Intel,628766983,3.11580,320.94486,6,True,False,SingleThreaded
Optimized Intel,602480578,3.66740,272.67274,6,True,False,SingleThreaded
Release,722472535,3.23820,308.81354,7,True,False,SingleThreaded
Release GCC-7.1,697948733,3.77880,264.63428,7,True,False,SingleThreaded
Optimized GCC-7.1,697972833,3.05010,327.85810,7,True,False,SingleThreaded
Graphite GCC-7.1,697861857,3.63070,275.42898,7,True,False,SingleThreaded
Release Clang-4.0,605449354,3.25960,306.78611,7,True,False,SingleThreaded
Optimized Clang-4.0,604416780,2.64310,378.34361,7,True,False,SingleThreaded
Polly Clang-4.0,604362880,2.98330,335.19928,7,True,False,SingleThreaded
Release Intel,641921383,3.43700,290.95141,7,True,False,SingleThreaded
Optimized Intel,615338578,3.55220,281.51568,7,True,False,SingleThreaded
Release,736868335,3.72260,268.62945,8,True,False,SingleThreaded
Release GCC-7.1,711293533,3.44450,290.31790,8,True,False,SingleThreaded
Optimized GCC-7.1,711317633,3.29520,303.47172,8,True,False,SingleThreaded
Graphite GCC-7.1,711208457,3.44290,290.45282,8,True,False,SingleThreaded
Release Clang-4.0,617355754,3.00320,332.97816,8,True,False,SingleThreaded
Optimized Clang-4.0,616318680,3.29180,303.78516,8,True,False,SingleThreaded
Polly Clang-4.0,616193880,2.84950,350.93876,8,True,False,SingleThreaded
Release Intel,655078583,3.76170,265.83725,8,True,False,SingleThreaded
Optimized Intel,628199378,3.30910,302.19697,8,True,False,SingleThreaded
Release,310677893,1.83220,545.79194,0,False,True,SingleThreaded
Release GCC-7.1,301846687,1.81460,551.08564,0,False,True,SingleThreaded
Optimized GCC-7.1,301849587,1.29650,771.30737,0,False,True,SingleThreaded
